route_short_name,route_long_name,route_desc,route_type,route_id,agency_id,via
340-J,340-JUP,KR Market To Huskuru,3,1065,BMTC,Dodda Kannelli
381-C,381-CDOWN,Vijayapura To Hoskote,3,1078,BMTC,Sulibele
61,61UP,Vijayanagara To Kempegowda Bus Station,3,1083,BMTC,Magadi Road Tollgate
342-H,342-HUP,St Johns Hospital To Sarjapura,3,1142,BMTC,Dommasandra
342-H,342-HDOWN,Sarjapura To St Johns Hospital,3,1151,BMTC,Dommasandra
318,318DOWN,Jyothipura To KR Market,3,1200,BMTC,KR Puram
210-B,210-BDOWN,Chunchaghatta To KR Market,3,1206,BMTC,Banashankari
212,212UP,KR Market To Agara,3,1226,BMTC,Banashankari
D26-YTTMC,D26-YTTMCUP,Depot-26 To Yeshwanthapura TTMC,3,1260,BMTC,nan
D08-YTTMC,D08-YTTMCUP,Depot-08 To Yeshwanthapura TTMC,3,1261,BMTC,nan
YTTMC-D26,YTTMC-D26DOWN,Yeshwanthapura TTMC To Depot-26,3,1264,BMTC,nan
YTTMC-D8,YTTMC-D8DOWN,Yeshwanthapura TTMC To Depot-08,3,1272,BMTC,nan
VRP-PTH,VRP-PTHDOWN,Vidyaranyapura Bus Station To Puttenahalli,3,1275,BMTC,Atturu Layout
D39-HSK,D39-HSKUP,Depot 39 To Hosakote Bus Stand,3,1299,BMTC,KEB Circle
HSK-D39,HSK-D39DOWN,Hosakote Bus Stand To Depot 39,3,1300,BMTC,KEB Circle
PTN-YHKOT,PTN-YHKOTUP,Puttenahalli To Yalahanka Old Town,3,1311,BMTC,nan
YHKOT-PTN,YHKOT-PTNDOWN,Yalahanka Old Town To Puttenahalli,3,1312,BMTC,nan
D11-PTN,D11-PTNUP,Depot11 Gate Dummy To Puttenahalli,3,1328,BMTC,nan
PTN-D11,PTN-D11DOWN,Puttenahalli To Depot11 Gate Dummy,3,1331,BMTC,nan
NSH-KBS,NSH-KBSDOWN,Nagashettahalli To Kempegowda Bus Station,3,1621,BMTC,Mekhri Circle
KBS-NSH,KBS-NSHUP,Kempegowda Bus Station To Nagashettahalli,3,1623,BMTC,Mekhri Circle
SBS-BPS,SBS-BPSUP,Shivajinagara Bus Station To Bhoopasandra,3,1627,BMTC,Mekhri Circle
PTH-BKH,PTH-BKHUP,Puttenahalli To Bande Kodigehallipalya,3,1656,BMTC,Bagaluru Cross
PTH-RCP,PTH-RCPUP,Puttenahalli To Ramachandrapura,3,1668,BMTC,Vidyaranyapura
RCP-PTH,RCP-PTHDOWN,Ramachandrapura To Puttenahalli,3,1670,BMTC,Vidyaranyapura
KBS-CVB,KBS-CVBUP,Kempegowda Bus Station To Cauvery Bhavana,3,1708,BMTC,Maharani College
MKT-12HK,MKT-12HKDOWN,Hoskote To KR Market,3,1796,BMTC,KR Puram
317-N,317-NDOWN,Kamarasanahalli To KR Market,3,1816,BMTC,Hoskote
317-Q,317-QDOWN,Nelavagilu To KR Market,3,1818,BMTC,Hoskote
317-S,317-SDOWN,Beguru To KR Market,3,1823,BMTC,Hoskote
317-SA,317-SADOWN,Doddanallurahalli To KR Market,3,1826,BMTC,Hoskote
317-TD,317-TDDOWN,Devarashettyhalli To KR Market,3,1831,BMTC,Hoskote
317-YA,317-YADOWN,Kattigenahalli To KR Market,3,1841,BMTC,Hoskote
317-YE,317-YEDOWN,Govindapura To Kempegowda Bus Station,3,1844,BMTC,Hoskote
381,381DOWN,Thimmasandra To Kempegowda Bus Station,3,1851,BMTC,Hoskote
382-A,382-ADOWN,Shivanapura To KR Market,3,1854,BMTC,Hoskote
382-D,382-DDOWN,Mugabala To KR Market,3,1859,BMTC,Hoskote
382-B,382-BDOWN,Nidighatta To KR Market,3,1861,BMTC,Hoskote
382-M,382-MDOWN,Chikka Korthi To KR Market,3,1864,BMTC,Tavarekere
380,380DOWN,Kolatturu To Kempegowda Bus Station,3,1869,BMTC,Hoskote
382,382DOWN,Kallahalli To KR Market,3,1918,BMTC,Hoskote KR Puram
CS-VNS-VRP,CS-VNS-VRPUP,Vidya Niketan School To Vidyaranyapura Bus Station,3,1982,BMTC,Nanjappa Circle
ATR-PTH,ATR-PTHDOWN,Atturu To Puttenahalli,3,1987,BMTC,Mother Dairy Cross
YTTMC-MLP,YTTMC-MLPUP,Yashawanthapura TTMC To Malleshwaram Sai Hot Chips,3,1996,BMTC,Mysore Lamps
MLP-YTTMC,MLP-YTTMCDOWN,Malleshwaram Sai Hot Chips To Yashawanthapura TTMC,3,1997,BMTC,Malleshwaram 18th Cross
PTH-ADITI,PTH-ADITIUP,Puttenahalli To Adithi School,3,1999,BMTC,Escorts
ADITI-YHK,ADITI-YHKUP,Adithi School To Yalahanka Old Town,3,2001,BMTC,NES Office
ADITI-7,ADITI-7UP,Walker Langford Road Chartered To Adithi School,3,2006,BMTC,nan
ADITI-YSTF,ADITI-YSTFUP,Adithi School To Yalahanka New Town 5th Phase,3,2007,BMTC,nan
KMT-WLFR,KMT-WLFRUP,KR Market To Walker Langford Road ,3,2009,BMTC,nan
ADITI-7,ADITI-7UP,Adithi School To Walker Langford Road Chartered,3,2010,BMTC,nan
KBS-RMC,KBS-RMCUP,Kempegowda Bus Station To Prathibha Jewellary Richmond Circle,3,2011,BMTC,Corporation
WLFR-KMT,WLFR-KMTUP,Walker Langford Road To KR Market,3,2013,BMTC,nan
YSTF-VRP,YSTF-VRPUP,Yalahanka New Town 5th Phase To Vidyaranyapura Bus Station,3,2016,BMTC,Chikkabettahalli
ADH-YSTF,ADH-YSTFUP,Adithi School To Yalahanka New Town 5th Phase,3,2018,BMTC,Mother Dairy Cross
YSTF-ADH,YSTF-ADHDOWN,Yalahanka New Town 5th Phase To Adithi School,3,2019,BMTC,Mother Dairy Cross
MTR-27,MTR-27UP,Baglur Cross To Mind Tree (Global Village Mysore Road),3,2020,BMTC,Hebbala
MTR-27,MTR-27DOWN,Mind Tree (Global Village Mysore Road) To Baglur Cross,3,2023,BMTC,Hebbala
KMT-NGVF,KMT-NGVFUP,KR Market To National Games Village Gate,3,2025,BMTC,nan
ADITI-RGH,ADITI-RGHUP,Adithi School To Ramagondanahalli,3,2028,BMTC,nan
CS-ADITI-NGVF,CS-ADITI-NGVFUP,Adithi School To National Games Village Gate,3,2029,BMTC,nan
NGV-JKS,NGV-JKSUP,National Games Village Gate To Jakkasandra,3,2030,BMTC,nan
CVB-RGH,CVB-RGHUP,Cauvery Bhavana To Ramagondanahalli,3,2032,BMTC,Yalahanka NES Office
CS-ADT-GEC,CS-ADT-GECDOWN,Adithi School To Golden Enclave,3,2038,BMTC,Hebbala
ALS-PTH,ALS-PTHUP,Allalasandra To Puttenahalli,3,2042,BMTC,Hebbala
CS-DBP-HAL LCA,CS-DBP-HAL LCAUP,Doddaballapura Old Bus Stand To HAL LCA,3,2045,BMTC,Hebbala
CS-ECS-ADITI,CS-ECS-ADITIUP,Eco Space To Adithi School,3,2047,BMTC,nan
CS-ADITI-BLECOSP,CS-ADITI-BLECOSPUP,Adithi School To Eco Space,3,2057,BMTC,nan
CS-DVH-HAL,CS-DVH-HALUP,Devanahalli New Bus Stand To HAL LCA,3,2060,BMTC,Hebbala
ADITI-YST,ADITI-YSTUP,Adithi School To Yalahanka Satellite Town,3,2067,BMTC,Mother Dairy Cross
ADITI-5,ADITI-5UP,Jayanagara TTMC To Adithi School,3,2073,BMTC,nan
CS-ADITI-JBS,CS-ADITI-JBSUP,Adithi School To Jayanagara TTMC,3,2075,BMTC,nan
GSHQR-SBS,GSHQR-SBSUP,Golden Star Hotel To Shivajinagara Bus Station,3,2091,BMTC,nan
CS-HAL LCA-DVH,CS-HAL LCA-DVHUP,HAL LCA To Devanahalli New Bus Stand,3,2093,BMTC,Hebbala
PTH-BLR,PTH-BLRUP,Puttenahalli To Bagaluru,3,2103,BMTC,Yalahanka
YHK-ADITI,YHK-ADITIUP,Yalahanka Satellite Town To Adithi School,3,2107,BMTC,nan
YHKMD-BTP,YHKMD-BTPUP,Mother Diary Cross To Bagmane Tech Park,3,2108,BMTC,RT Nagara
BTP-YLMD,BTP-YLMDDOWN,Bagmane Tech Park To Mother Dairy Cross Yalahanka,3,2109,BMTC,Hebbala
ADITI-31,ADITI-31UP,CV Ramannagara To Adithi School,3,2110,BMTC,Hebbala
ADITI-YHKMD,ADITI-YHKMDUP,Adithi School To Yalahanka Mother Dairy,3,2115,BMTC,Mother Dairy Cross
BTP-KBS,BTP-KBSUP,Bagmane Tech Park To Kempegowda Bus Station,3,2136,BMTC,Halasuru
D30-PTH,D30-PTHUP,Depot-30 To Puttenahalli,3,2144,BMTC,nan
KBS-IND6M,KBS-IND6MUP,Kempegowda Bus Station To Indiranagara 6th Main,3,2150,BMTC,Halasuru
CS-IND6THM-ADT,CS-IND6THM-ADTUP,Indiranagara 6th Main To Adithi School,3,2151,BMTC,Hebbala
ADITI-IAF,ADITI-IAFUP,Adithi School To Indian Air Force,3,2154,BMTC,NES Office
CS-ADT-IND6THM,CS-ADT-IND6THMDOWN,Adithi School To Indiranagara 6th Main,3,2157,BMTC,Hebbala
PTH-ATR,PTH-ATRUP,Puttenahalli To Atturu,3,2160,BMTC,Ananthapura
YHK-MTH,YHK-MTHUP,Yalahanka Old Town To Mittiganahalli,3,2170,BMTC,Kogilu Cross
BLCR-KWS,BLCR-KWSUP,Baliga Circle To KSRTC Kengeri Work Shop,3,2171,BMTC,Malleshwaram Circle
SBS-HSMH,SBS-HSMHUP,Shivajinagara Bus Station To Hosmat Hospital,3,2175,BMTC,Mayohall
CS-HSMH-ADT,CS-HSMH-ADTUP,Hosmat Hospital To Malya Adithi School,3,2177,BMTC,Mekhri Circle
CS-ADT-HSMH,CS-ADT-HSMHUP,Adithi School To Hosmat Hospital (Police Housing  Corporation),3,2185,BMTC,Mekhri Circle
HSMH-SBS,HSMH-SBSUP,Hosmat Hospital To Shivajinagara Bus Station,3,2186,BMTC,MG Road
ADITI-12,ADITI-12DOWN,Bangalore club To Adithi School,3,2190,BMTC,nan
CS-SBS-CVRN,CS-SBS-CVRNUP,Shivajinagara Bus Station To CV Raman Nagara Dummy,3,2192,BMTC,nan
KMT-RMC,KMT-RMCDOWN,KR Market To Prathibha Jewellary Richmond,3,2199,BMTC,Corporation
NITT-KCH,NITT-KCHUP,Nitte Meenakshi College To Kenchanahalli Yalahanka,3,2200,BMTC,Harohalli
CS-NITT-YHKPS,CS-NITT-YHKPSUP,Nitte Meenakshi College To Yelahanka Police Station,3,2206,BMTC,Kogilu Cross
YHKPS-NITT,YHKPS-NITTUP,Yalahanka Police Station To Nitte Meenakshi College,3,2207,BMTC,Kogliu Cross
KCH-PTH,KCH-PTHUP,Kenchanahalli Yalahanka To Puttenahalli,3,2212,BMTC,nan
KDH-YHK,KDH-YHKDOWN,Kodigehalli Doddaballapura To Yalahanka Old Town,3,2222,BMTC,Yalahanka NES Office
277,277UP,Kempegowda Bus Station To GKVK,3,2233,BMTC,Hebbala
277,277DOWN,GKVK To Kempegowda Bus Station,3,2234,BMTC,Hebbala
ITPL-8,ITPL-8UP,Indian Air Force To ITPL,3,2237,BMTC,nan
PTH-IAF-BHR,PTH-IAF-BHRUP,Puttenahalli To Bettahalasuru Village,3,2245,BMTC,Yalahanka Air Force
ATLO-SHS,ATLO-SHSUP,Attur Layout To Sindhi High School Kuvempu Road,3,2250,BMTC,Vidyaranyapura
SHS-KBS,SHS-KBSDOWN,Sindhi High School Kuvempu Road To Kempegowda Bus Station,3,2254,BMTC,Hebbala
KBS-SHS,KBS-SHSUP,Kempegowda Bus Station To Sindhi High School Kuvempu Road,3,2255,BMTC,Hebbala
290-B,290-BUP,Kempegowda Bus Station To Thanisandra,3,2260,BMTC,Coles Park
PTH-SGT,PTH-SGTUP,Puttenahalli To Suggatta,3,2266,BMTC,Yalahanka NES Office Hunasamaranahalli
JHV-PTH,JHV-PTHDOWN,Jalahalli Village To Puttenahalli,3,2267,BMTC,BEL Circle MS Palya Yalahanka Satellite Town
PTH-JHV,PTH-JHVUP,Puttenahalli To Jalahalli Village,3,2272,BMTC,Yalahanka Satellite Town MS Palya BEL Circle
