stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_direction,stop_bearing
3,KDHL,Kodihalli,12.96004656,77.64719738,HAL,90
4,VTTMC,Vijayanagara TTMC,12.96572391,77.53510224,,21.5060
5,MCL1,MC Layout,12.97500273,77.54211521,Agrahara Dasarahalli,1.23464
6,MGRMS,MG Road Metro Station,12.97582743,77.60564176,Halasuru,110
7,CNLSK,Central Silk Board (Towards Madivala),12.91704891,77.62171975,Madivala,100
8,BSK1,Banashankari Bus Station (Towards Konanakunte Cross),12.91672959,77.57366674,Konanakunte Cross,180
9,BSKTTMC1,Banashankari TTMC,12.91753106,77.57296011,Departure,233.408
10,SMG,Sangam Circle,12.91703282,77.57840196,Banashankari TTMC,72.6490
12,JNGR5,5th Block Jayanagara (Towards Jayanagara),12.91730831,77.58357173,Jayanagara,86.3902
13,KRISHSE,Krishna Sevashrama,0.0,0.0,,243.662
15,RGDA,Ragigudda,12.91682337,77.5921349,,80.8186
16,RGDAA,Ragigudda,12.91696148,77.59236887,,303.189
17,RGD,Ragigudda Temple,12.91693403,77.5932443,Central Central Silk Board,0.38587
18,END,East End Jayanagara (Towards BTM Layout),12.91684059,77.59719395,BTM Layout Bus Stand,0.0
19,JDVHS,Jayadeva Hospital Signal,12.91677911,77.60021562,Silk Board,0.0
20,MCLYT,MICO Layout,12.91659989,77.60312779,Banashankari TTMC,0.0
21,WATANK,BTM Layout Water Tank,12.91669366,77.60684366,Central Silk Board,100
22,WTANK,BTM Layout Water Tank,12.91649963,77.60642451,Banashankari TTMC,270
23,bmtl1,Udupi Garden Petrol Bunk,12.91717183,77.61007499,Tavarakere,0.0
24,BMTL2,BTM Layout,12.91635891,77.61597343,,0.0
25,BTM16th,16th Main BTM Layout,12.91652707,77.60880393,Banashankari TTMC,270
26,BTM7,7th Main BTM Layout,12.91206163,77.60632518,BTM Layout Water Tank,270
27,BTMLYK,BTM Layout Kuvempu Nagara,12.9162174,77.61591656,Banashankari TTMC,270
28,BMTLYTK,BTM Layout Kuvempu Nagara,12.91635662,77.61591532,Central Central Silk Board,81.6433
29,CSBFY,Central Silk Board UFLY,12.91630999,77.62354268,Electronic City,97.4367
30,VJN1,Vijayanagara,12.97183024,77.53791923,Attiguppe,0.0
31,SRSC2,Sirsi Circle,12.96217397,77.56000394,KR Market,102.299
32,KR MKT,KR Market,12.96366889,77.57736881,Chamarajapet,180
33,KBSC10,KBS Connector2,12.97944962,77.57116351,Maharanis College,147.779
34,KBSDBS1,KBS Dummy Bus stop,12.98004269,77.57095499,,6.41624
35,BMH0,Bommanahalli (Towards Beguru),12.90677751,77.62842911,Beguru,0.0
36,BMH2,Bommanahalli (Towards Electronic City),12.90536003,77.63013142,Electronic City,198.179
37,GPALYA,Garvebhavipalya,12.89618963,77.63544064,Madivala,330
38,KGATE,Kudlu Gate,12.88965654,77.63948598,Madivala,300
39,KDG,Kudlu Gate,12.88985737,77.63965926,Singasandara,126.760
40,SSNDRA,Singasandra,12.87874432,77.64647488,Electronic City,138.759
41,HOSRD,Hosa Road (Towards Electronic City),12.87059695,77.65295173,Electronic City,137.259
42,ELC3,Electronic City (Towards Attibele),12.84816925,77.6707112,Attibele,138.160
43,KNA,Konappana Agarhara,12.85485537,77.66515418,Madivala,335.510
44,PESIT,PESIT College Electronic City,12.85873107,77.66232768,Electronic City,120
45,SNSDRA,Singasandra,12.87738903,77.64705927,Bommanahalli,307.420
46,GBPLYA,Garvebhavipalya,12.89629994,77.63568778,Kudlu Gate ,225
47,BMH4,Bommanahalli (Towards St Johns),12.90483622,77.63007965,St Johns,319.130
48,ROPAG,Rupena Agrahara,12.91168823,77.62586568,Madivala,316.760
49,CSB2,Central Silk Board (Towards Kuvempunagara),12.91611715,77.62309375,Kuvempunagara,325.959
50,MDWL1,Madivala,12.92008333,77.62066167,Bengaluru Diary Circle,313.820
51,AT1,Ayyappaswamy Temple Madivala,12.92472759,77.61791906,Dairy Circle,335.890
52,JNHR,Jn of Hosur Road,12.93196934,77.61321292,Dairy Cirlce,322.380
53,MSD,Muneshwara Devasthana,12.93636174,77.60660537,Nimhans Hospital,273.440
54,NMH1,Nimhans Hospital,12.93868165,77.59831884,Shanthi Nagara,305.299
55,LKS1,Lakkasandra,12.94382951,77.59709837,KR Market,355.790
56,WLG10C,12th Cross Wilson Garden,12.9467426,77.59607302,Shanthi Nagara,30
57,WGPS,Wilson Garden Police Station,12.94989829,77.59597146,Shanthi Nagara,318.970
58,SHNG,Shanthinagara Bus Stop KH Road,12.95497093,77.591889,Lalbagh Main Gate,225
59,KHR,KH Road,12.95836155,77.59300693,Richmond Circle,10.2700
60,D-7,Depot-07 Subhashnagara,12.9796856,77.57190406,Kempegowda Bus Station,256.470
61,KRC,KR Circle,12.97472667,77.58691,Corporation,225
62,Corpo,Corporation (Towards KR Market),12.96724194,77.58828195,KR Market,222.570
63,WLG7,7th Cross Wilson Garden,12.94709538,77.59451345,Lakkasandra,162.809
64,SNTTMC3,Shanthinagara TTMC,12.95459258,77.5925092,KH Road,210.110
65,WGPC,Wilson Garden Police Station,12.95140577,77.59521987,Lakkasandra,130.229
66,WG10C,10th Cross Wilson Garden,12.94718769,77.59796125,Lakkasandra,225
67,LKS,Lakkasandra,12.94308106,77.59743743,Bengaluru Dairy Circle,225
68,MHW,Muneshwara Devasthana,12.93643438,77.60661905,Madivala,98.4000
