route_id,service_id,trip_id
1328,1,1328_13_35
51106,1,51106_13_37
5695,1,5695_13_42
20854,1,20854_14_55
5695,1,5695_16_40
20854,1,20854_18_00
5695,1,5695_19_20
20854,1,20854_21_05
5695,1,5695_05_20
20854,1,20854_06_30
5695,1,5695_07_50
20854,1,20854_09_10
1312,1,1312_10_15
1331,1,1331_10_20
2144,1,2144_14_30
51106,1,51106_14_35
6158,1,6158_14_45
32299,1,32299_15_20
29272,1,29272_16_35
31488,1,31488_18_10
29272,1,29272_20_10
31488,1,31488_06_20
29272,1,29272_08_20
31488,1,31488_09_55
6158,1,6158_11_30
32299,1,32299_12_15
1312,1,1312_12_55
20021,1,20021_13_00
33785,1,33785_14_00
37029,1,37029_14_02
28481,1,28481_14_15
37029,1,37029_15_05
28481,1,28481_16_20
37029,1,37029_17_10
28481,1,28481_18_10
37029,1,37029_19_05
28481,1,28481_20_20
37029,1,37029_21_10
28481,1,28481_22_00
37029,1,37029_05_00
28481,1,28481_05_15
37029,1,37029_06_00
28481,1,28481_06_45
37029,1,37029_07_35
28481,1,28481_08_25
37029,1,37029_09_15
28481,1,28481_10_30
37029,1,37029_11_20
28481,1,28481_12_05
6622,1,6622_12_08
33785,1,33785_13_15
24489,1,24489_13_20
24840,1,24840_13_25
24489,1,24489_14_10
24840,1,24840_14_55
24489,1,24489_15_40
24840,1,24840_16_50
24489,1,24489_17_35
24840,1,24840_18_25
24489,1,24489_19_05
24840,1,24840_19_50
24489,1,24489_21_00
24840,1,24840_05_30
24489,1,24489_06_15
24840,1,24840_07_00
24489,1,24489_07_45
24840,1,24840_08_30
24489,1,24489_09_15
24840,1,24840_10_25
24489,1,24489_11_10
24840,1,24840_11_50
6622,1,6622_11_55
6620,1,6620_14_50
20808,1,20808_14_52
29510,1,29510_15_05
24558,1,24558_15_55
29510,1,29510_16_45
24613,1,24613_17_40
29510,1,29510_19_05
24558,1,24558_19_55
29510,1,29510_20_45
24558,1,24558_22_00
29510,1,29510_05_30
24558,1,24558_06_20
29510,1,29510_07_10
24558,1,24558_08_00
29510,1,29510_09_00
24558,1,24558_09_55
29510,1,29510_11_15
24558,1,24558_12_05
6622,1,6622_12_38
6825,1,6825_13_15
29232,1,29232_13_17
21270,1,21270_14_25
21273,1,21273_15_30
21270,1,21270_16_35
21273,1,21273_18_05
21270,1,21270_19_10
21273,1,21273_20_40
21270,1,21270_05_45
21273,1,21273_06_45
21270,1,21270_07_50
21273,1,21273_09_30
28806,1,28806_10_40
6918,1,6918_11_58
7478,1,7478_14_00
8141,1,8141_14_05
21914,1,21914_14_35
21915,1,21915_15_40
21914,1,21914_17_10
21915,1,21915_18_15
21914,1,21914_19_20
21915,1,21915_21_00
21914,1,21914_05_20
21915,1,21915_06_15
21914,1,21914_07_05
21915,1,21915_08_05
21914,1,21914_09_05
21915,1,21915_10_05
8142,1,8142_11_30
7481,1,7481_11_55
8165,1,8165_13_20
31401,1,31401_13_23
41920,1,41920_13_25
41919,1,41919_14_10
41920,1,41920_14_55
41919,1,41919_15_40
41920,1,41920_16_55
41919,1,41919_17_45
41920,1,41920_18_35
41919,1,41919_19_25
41920,1,41920_20_15
41919,1,41919_21_25
41920,1,41920_05_00
41919,1,41919_05_35
41920,1,41920_06_10
41919,1,41919_06_55
41920,1,41920_07_45
41919,1,41919_08_35
41920,1,41920_09_50
41919,1,41919_10_40
31435,1,31435_11_20
8167,1,8167_11_23
8165,1,8165_14_45
21814,1,21814_14_50
21814,1,21814_16_10
21814,1,21814_18_10
21814,1,21814_20_35
21814,1,21814_05_30
21814,1,21814_07_05
21814,1,21814_09_05
19496,1,19496_10_30
8167,1,8167_11_25
8165,1,8165_15_20
21023,1,21023_15_30
34173,1,34173_16_35
34173,1,34173_19_00
34173,1,34173_21_25
34173,1,34173_06_10
34173,1,34173_08_10
34173,1,34173_10_35
19496,1,19496_12_35
8167,1,8167_13_15
8165,1,8165_15_40
21023,1,21023_15_50
34173,1,34173_16_55
34173,1,34173_19_20
34173,1,34173_21_45
34173,1,34173_06_30
34173,1,34173_08_30
34173,1,34173_10_55
19496,1,19496_12_55
